TrialN,blockID,blockN,cueLines,match,multiplier,payout,netOutcome,credits,PRPTime,L1,L2,L3,CS,R1,R2,R3,shown
1,0,0,1,0,0,0,-90,1910,0,2,3,4,1,4,1,5,0
2,0,0,1,0,0,0,-90,1820,0,1,3,2,1,4,5,3,0
3,0,0,2,1,14,140,50,1920,0,5,1,2,2,1,2,3,0
4,0,0,2,0,0,0,-90,1830,0,3,4,5,2,5,4,1,0
5,0,0,1,0,0,0,-90,1740,0,4,1,3,1,3,2,5,0
6,0,0,2,0,0,0,-90,1650,0,2,3,5,2,3,1,5,0
7,0,0,2,1,4,40,-50,1550,0,5,2,3,2,1,5,2,0
8,0,0,1,1,50,500,410,2370,0,2,5,1,5,5,4,3,0
9,0,0,2,1,10,100,10,2390,0,1,4,2,4,2,3,4,0
10,0,0,2,1,10,100,10,2410,0,4,1,5,5,5,2,4,0
11,0,0,2,0,0,0,-90,2320,0,3,2,4,5,1,3,4,0
12,0,0,3,1,50,500,410,3140,0,3,2,1,2,3,1,2,0
13,0,0,2,1,50,500,410,3960,0,5,1,4,5,5,3,4,0
14,0,0,2,0,0,0,-90,3870,0,5,2,1,4,3,1,2,0
15,0,0,1,0,0,0,-90,3780,0,4,2,3,5,1,5,4,0
16,0,0,2,1,8,80,-10,3760,0,1,4,3,3,3,5,1,0
17,0,0,2,1,4,40,-50,3660,0,2,1,5,1,1,5,4,0
18,0,0,1,0,0,0,-90,3570,0,4,1,5,5,2,3,1,0
19,0,0,2,0,0,0,-90,3480,0,4,2,5,4,2,5,3,0
20,0,0,2,0,0,0,-90,3390,0,1,5,4,1,4,5,2,0
21,0,0,2,1,4,40,-50,3290,0,2,1,3,2,2,1,4,0
22,0,0,2,0,0,0,-90,3200,0,5,1,3,5,3,1,2,0
23,0,0,2,0,0,0,-90,3110,0,2,5,4,5,4,3,2,0
24,0,0,2,1,14,140,50,3210,0,5,1,3,5,5,1,4,0
25,0,0,2,0,0,0,-90,3120,0,1,4,3,5,1,4,5,0
26,0,0,2,0,0,0,-90,3030,0,1,5,3,4,4,5,3,0
27,0,0,1,0,0,0,-90,2940,0,1,4,5,1,2,5,3,0
28,0,0,2,0,0,0,-90,2850,0,4,2,5,3,4,1,2,0
29,0,0,3,1,50,500,410,3670,0,4,2,1,2,1,2,4,0
30,0,0,2,0,0,0,-90,3580,0,4,5,3,1,2,5,4,0
31,0,0,2,0,0,0,-90,3490,0,1,3,5,5,3,1,2,0
32,0,0,1,0,0,0,-90,3400,0,5,4,1,4,3,1,2,0
33,0,0,2,0,0,0,-90,3310,0,2,1,4,2,3,1,4,0
34,0,0,3,1,8,80,-10,3290,0,2,3,4,4,3,2,4,0
35,0,0,2,0,0,0,-90,3200,0,4,5,3,2,4,5,1,0
36,0,0,1,0,0,0,-90,3110,0,5,1,4,4,1,2,3,0
37,0,0,2,0,0,0,-90,3020,0,2,5,4,5,4,3,2,0
38,0,0,2,1,8,80,-10,3000,0,2,4,1,4,5,2,4,0
39,0,0,1,0,0,0,-90,2910,0,1,4,2,2,3,5,1,0
40,0,0,2,0,0,0,-90,2820,0,5,1,2,2,5,3,1,0
41,0,0,2,1,50,500,410,3640,0,1,5,4,5,5,2,4,0
42,0,0,2,1,50,500,410,4460,0,1,2,5,5,1,3,5,0
43,0,0,1,0,0,0,-90,4370,0,5,2,1,4,4,3,5,0
44,0,0,3,1,14,140,50,4470,0,5,3,2,2,5,2,3,0
45,0,0,2,0,0,0,-90,4380,0,2,5,3,2,5,3,1,0
46,0,0,1,0,0,0,-90,4290,0,2,3,4,1,5,1,3,0
47,0,0,1,1,10,100,10,4310,0,2,1,5,1,4,1,3,0
48,0,0,1,1,14,140,50,4410,0,3,1,5,1,4,2,1,0
49,0,0,2,1,50,500,410,5230,0,3,5,2,2,5,2,4,0
50,0,0,2,1,50,500,410,6050,0,4,3,5,3,5,3,2,0
51,0,0,1,0,0,0,-90,5960,0,2,4,1,5,4,5,3,0
52,0,0,2,0,0,0,-90,5870,0,2,5,4,3,4,3,5,0
53,0,0,2,0,0,0,-90,5780,0,1,2,3,5,2,1,5,0
54,0,0,1,0,0,0,-90,5690,0,1,2,3,5,3,5,4,0
55,0,0,1,0,0,0,-90,5600,0,4,5,3,5,2,4,1,0
56,0,0,2,0,0,0,-90,5510,0,5,1,4,4,3,1,5,0
57,0,0,3,1,8,80,-10,5490,0,2,1,5,2,1,5,2,0
58,0,0,2,1,4,40,-50,5390,0,1,2,4,2,3,2,4,0
59,0,0,2,0,0,0,-90,5300,0,1,4,5,5,1,3,4,0
60,0,0,1,0,0,0,-90,5210,0,3,1,2,2,4,3,5,0
61,0,0,1,0,0,0,-90,5120,0,2,1,4,3,3,2,5,0
62,0,0,2,0,0,0,-90,5030,0,1,3,5,3,1,4,5,0
63,0,0,2,0,0,0,-90,4940,0,3,4,5,1,2,5,3,0
64,0,0,2,0,0,0,-90,4850,0,2,4,1,3,4,2,5,0
65,0,0,2,0,0,0,-90,4760,0,3,4,5,2,3,1,5,0
66,0,0,3,1,10,100,10,4780,0,3,4,1,1,4,3,1,0
67,0,0,1,0,0,0,-90,4690,0,3,4,2,1,1,5,3,0
68,0,0,2,0,0,0,-90,4600,0,1,5,2,3,1,4,5,0
69,0,0,2,1,14,140,50,4700,0,4,3,5,4,2,5,4,0
70,0,0,1,0,0,0,-90,4610,0,5,2,4,4,3,5,1,0
71,0,0,2,1,14,140,50,4710,0,5,3,2,2,2,3,1,0
72,0,0,2,0,0,0,-90,4620,0,1,2,4,2,3,1,4,0
73,0,0,2,1,4,40,-50,4520,0,5,2,4,5,1,5,2,0
74,0,0,1,0,0,0,-90,4430,0,1,3,4,2,5,2,3,0
75,0,0,2,0,0,0,-90,4340,0,5,4,2,1,3,5,4,0
76,0,0,2,1,50,500,410,5160,0,2,4,3,4,4,1,3,0
77,0,0,1,1,50,500,410,5980,0,5,3,2,2,4,2,1,0
78,0,0,1,0,0,0,-90,5890,0,1,2,3,3,2,4,5,0
79,0,0,2,0,0,0,-90,5800,0,1,2,3,4,4,2,1,0
80,0,0,2,1,50,500,410,6620,0,1,2,3,1,1,3,5,0
81,0,0,3,1,10,100,10,6640,0,1,2,3,1,2,1,3,0
82,0,0,2,0,0,0,-90,6550,0,1,2,4,5,3,1,4,0
83,0,0,2,0,0,0,-90,6460,0,1,2,3,1,5,3,2,0
84,0,0,2,0,0,0,-90,6370,0,5,3,2,1,4,2,5,0
85,0,0,1,0,0,0,-90,6280,0,5,2,3,4,3,4,1,0
86,0,0,2,1,10,100,10,6300,0,3,2,5,5,1,5,3,0
87,0,0,1,1,10,100,10,6320,0,3,2,4,2,2,1,5,0
88,0,0,2,1,50,500,410,7140,0,2,3,1,1,2,4,1,0
89,0,0,2,1,4,40,-50,7040,0,3,1,2,3,4,2,3,0
90,0,0,2,1,4,40,-50,6940,0,3,5,4,3,5,3,1,0
91,0,0,2,1,4,40,-50,6840,0,2,5,4,4,2,1,4,0
92,0,0,1,1,14,140,50,6940,0,5,1,4,5,2,3,5,0
93,0,0,2,0,0,0,-90,6850,0,5,1,4,1,3,5,4,0
94,0,0,2,1,14,140,50,6950,0,1,5,4,5,1,5,2,0
95,0,0,1,0,0,0,-90,6860,0,2,5,3,1,2,4,1,0
96,0,0,2,1,8,80,-10,6840,0,1,2,5,5,3,5,2,0
97,0,0,2,0,0,0,-90,6750,0,2,4,1,2,1,4,5,0
98,0,0,2,1,10,100,10,6770,0,3,4,2,4,4,2,5,0
99,0,0,3,1,14,140,50,6870,0,3,2,4,4,4,2,3,0
100,0,0,2,0,0,0,-90,6780,0,4,1,5,3,3,5,4,0
